id_int,id,location_type,net_type,parent_station,route_type,stop_code,stop_id,stop_name,unique_agency_id,wheelchair_boarding,x,y,zone_id
132,2611_detroit_department_of_transportation,,transit,,3.0,LA12WB,2611,LAFAYETTE & ROSA PARKS,detroit_department_of_transportation,,-83.067601,42.323252000000004,
133,2612_detroit_department_of_transportation,,transit,,3.0,LA12EB,2612,LAFAYETTE & ROSA PARKS,detroit_department_of_transportation,,-83.067369,42.323118,
134,2613_detroit_department_of_transportation,,transit,,3.0,LA10EB,2613,LAFAYETTE & 10TH,detroit_department_of_transportation,,-83.063324,42.325001,
135,2614_detroit_department_of_transportation,,transit,,3.0,LA10WB,2614,LAFAYETTE & 10TH,detroit_department_of_transportation,,-83.063861,42.325028,
136,2615_detroit_department_of_transportation,,transit,,3.0,TRLANB,2615,TRUMBULL & LAFAYETTE,detroit_department_of_transportation,,-83.06236899999999,42.325894,
137,2619_detroit_department_of_transportation,,transit,,3.0,LA8TEB,2619,LAFAYETTE & 8TH,detroit_department_of_transportation,,-83.060855,42.326152,
138,2620_detroit_department_of_transportation,,transit,,3.0,LA6TWB,2620,LAFAYETTE & 6TH,detroit_department_of_transportation,,-83.058837,42.327348,
139,2621_detroit_department_of_transportation,,transit,,3.0,LA6TEB,2621,LAFAYETTE & 6TH,detroit_department_of_transportation,,-83.058324,42.327284999999996,
140,2622_detroit_department_of_transportation,,transit,,3.0,LA5TWB,2622,LAFAYETTE & FIFTH,detroit_department_of_transportation,,-83.05759,42.327928,
141,2623_detroit_department_of_transportation,,transit,,3.0,LAJOEB,2623,LAFAYETTE & JOHN C LODGE FWY,detroit_department_of_transportation,,-83.056173,42.328177000000004,
142,2624_detroit_department_of_transportation,,transit,,3.0,LA3REB,2624,LAFAYETTE & 3RD,detroit_department_of_transportation,,-83.054633,42.328828,
143,2625_detroit_department_of_transportation,,transit,,3.0,LA3RWB,2625,LAFAYETTE & 3RD,detroit_department_of_transportation,,-83.05524399999999,42.328793,
144,2628_detroit_department_of_transportation,,transit,,3.0,WGHOSB,2628,GRAND BLVD & HOWARD,detroit_department_of_transportation,,-83.085647,42.31793,
145,3684_detroit_department_of_transportation,,transit,,3.0,CEBAWB,3684,CONGRESS & BATES,detroit_department_of_transportation,,-83.0441,42.331159,
146,3688_detroit_department_of_transportation,,transit,,3.0,CERAWB,3688,Congress & Randolph,detroit_department_of_transportation,,-83.04363599999999,42.331409,
147,3689_detroit_department_of_transportation,,transit,,3.0,CEBRWB,3689,CONGRESS & BRUSH,detroit_department_of_transportation,,-83.042291,42.332015999999996,
148,4333_detroit_department_of_transportation,,transit,,3.0,MA25WB,4333,MARTIN LUTHER KING BLVD & 25TH,detroit_department_of_transportation,,-83.095476,42.334832,
149,4334_detroit_department_of_transportation,,transit,,3.0,MA24EB,4334,MARTIN LUTHER KING BLVD & 24TH,detroit_department_of_transportation,,-83.094034,42.335037,
150,4335_detroit_department_of_transportation,,transit,,3.0,MA23WB,4335,MARTIN LUTHER KING BLVD & 23RD,detroit_department_of_transportation,,-83.093411,42.335465,
151,4336_detroit_department_of_transportation,,transit,,3.0,MATIEB,4336,MARTIN LUTHER KING BLVD & TILLMAN,detroit_department_of_transportation,,-83.091798,42.335759,
152,4343_detroit_department_of_transportation,,transit,,3.0,MALAEB,4343,MARTIN LUTHER KING BLVD & LAWTON,detroit_department_of_transportation,,-83.087814,42.336963,
153,4344_detroit_department_of_transportation,,transit,,3.0,MALAWB,4344,MARTIN LUTHER KING BLVD & LAWTON,detroit_department_of_transportation,,-83.08873100000001,42.336919,
154,4345_detroit_department_of_transportation,,transit,,3.0,MAJEWB,4345,MARTIN LUTHER KING BLVD & JEFFERIES,detroit_department_of_transportation,,-83.09141899999999,42.336143,
155,4346_detroit_department_of_transportation,,transit,,3.0,2685 MAR,4346,2685 MARTIN LUTHER KING BLVD,detroit_department_of_transportation,,-83.086706,42.337466,
156,4347_detroit_department_of_transportation,,transit,,3.0,MA18WB,4347,MARTIN LUTHER KING BLVD & 18TH,detroit_department_of_transportation,,-83.086311,42.337758,
157,4348_detroit_department_of_transportation,,transit,,3.0,MA17EB,4348,MARTIN LUTHER KING BLVD & 17TH,detroit_department_of_transportation,,-83.083928,42.338167,
158,4352_detroit_department_of_transportation,,transit,,3.0,MA14EB,4352,MARTIN LUTHER KING BLVD & 14TH,detroit_department_of_transportation,,-83.080568,42.339273,
159,4353_detroit_department_of_transportation,,transit,,3.0,14MASB,4353,14TH & MARTIN LUTHER KING BOULEVARD,detroit_department_of_transportation,,-83.080959,42.339077,
160,4354_detroit_department_of_transportation,,transit,,3.0,MA14WB,4354,MARTIN LUTHER KING BLVD & 14TH,detroit_department_of_transportation,,-83.081215,42.339345,
161,4355_detroit_department_of_transportation,,transit,,3.0,MA12EB,4355,MARTIN LUTHER KING BLVD & 12TH,detroit_department_of_transportation,,-83.076767,42.340477,
162,4356_detroit_department_of_transportation,,transit,,3.0,ROMANB,4356,ROSA PARKS BLVD & MAGNOLIA,detroit_department_of_transportation,,-83.077802,42.342096999999995,
163,4357_detroit_department_of_transportation,,transit,,3.0,MA12WB,4357,MARTIN LUTHER KING BLVD & 12TH,detroit_department_of_transportation,,-83.077402,42.340548999999996,
164,4358_detroit_department_of_transportation,,transit,,3.0,ROMANB,4358,ROSA PARKS BLVD & MARTIN LUTHER KIN,detroit_department_of_transportation,,-83.077035,42.340692,
165,4359_detroit_department_of_transportation,,transit,,3.0,MACOEB,4359,MARTIN LUTHER KING BLVD & COCHRANE,detroit_department_of_transportation,,-83.07460400000001,42.341128000000005,
166,4360_detroit_department_of_transportation,,transit,,3.0,MACOWB,4360,MARTIN LUTHER KING BLVD & COCHRANE,detroit_department_of_transportation,,-83.07508,42.341254,
167,4361_detroit_department_of_transportation,,transit,,3.0,MATRWB,4361,MARTIN LUTHER KING BLVD & TRUMBULL,detroit_department_of_transportation,,-83.073087,42.341949,
168,4362_detroit_department_of_transportation,,transit,,3.0,TRMANB,4362,TRUMBULL & MARTIN LUTHER KING BLVD,detroit_department_of_transportation,,-83.072575,42.341824,
169,4363_detroit_department_of_transportation,,transit,,3.0,MA3REB,4363,MARTIN LUTHER KING BLVD & 3RD,detroit_department_of_transportation,,-83.064813,42.344266,
170,4364_detroit_department_of_transportation,,transit,,3.0,TRMASB,4364,TRUMBULL & MARTIN LUTHER KING BLVD,detroit_department_of_transportation,,-83.072917,42.341752,
171,4368_detroit_department_of_transportation,,transit,,3.0,GRGIWB,4368,GRAND RIVER & GIBSON,detroit_department_of_transportation,,-83.070255,42.341321,
172,4370_detroit_department_of_transportation,,transit,,3.0,GRASSB,4370,GRAND RIVER & ASH,detroit_department_of_transportation,,-83.069462,42.340855,
173,4371_detroit_department_of_transportation,,transit,,3.0,GRBRSB,4371,GRAND RIVER & BROOKLYN,detroit_department_of_transportation,,-83.068912,42.34055,
174,4374_detroit_department_of_transportation,,transit,,3.0,GR5TWB,4374,GRAND RIVER & 5TH,detroit_department_of_transportation,,-83.06450600000001,42.339025,
175,4375_detroit_department_of_transportation,,transit,,3.0,GR5TEB,4375,GRAND RIVER & 5TH,detroit_department_of_transportation,,-83.064323,42.338623,
176,4379_detroit_department_of_transportation,,transit,,3.0,GR3REB,4379,GRAND RIVER & 3RD,detroit_department_of_transportation,,-83.060552,42.33717,
177,4820_detroit_department_of_transportation,,transit,,3.0,LFBEWB,4820,LAFAYETTE & BEAUBIEN,detroit_department_of_transportation,,-83.042286,42.334171000000005,
178,4822_detroit_department_of_transportation,,transit,,3.0,LFSTEB,4822,LAFAYETTE & SAINT ANTIONE,detroit_department_of_transportation,,-83.040172,42.334911,
